ANO,MES,FaixaSalarial,MaxSalario,MinSalario
2020,5,4,1600.0,801.0
2020,5,5,3000.0,1601.0
2020,5,7,50000.0,10001.0
2020,6,6,10000.0,3001.0
2020,6,5,3000.0,1601.0
2020,6,1,300.0,101.0
2020,6,3,800.0,601.0
2020,7,5,3000.0,1601.0
2020,7,6,10000.0,3001.0
2020,7,3,800.0,601.0
2020,5,9,140000.0,140000.0
2020,6,9,140000.0,140000.0
2020,7,8,100000.0,50100.0
2020,5,8,90000.0,50100.0
2020,5,2,600.0,301.0
2020,5,1,300.0,101.0
2020,5,6,10000.0,3001.0
2020,5,3,800.0,601.0
2020,5,0,100.0,0.0
2020,6,4,1600.0,801.0
2020,6,2,600.0,301.0
2020,6,0,100.0,0.0
2020,6,7,50000.0,10001.0
2020,7,0,100.0,0.0
2020,7,2,600.0,301.0
2020,7,4,1600.0,801.0
2020,7,1,300.0,101.0
2020,7,7,50000.0,10001.0
2020,6,8,85000.0,50100.0
