ANO,MES,cargo,qtd_populacao_entrevistada
2020,5,Outro técnico ou profissional de nível médio,4505
2020,5,"Empregado doméstico, diarista, cozinheiro",7646
2020,5,"Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro",8728
2020,5,Outra profissão de nível superior,6682
2020,5,"Médico, enfermeiro, profissionais de saúde de nível superior",2641
2020,5,"Agricultor, criador de animais, pescador, silvicultor e jardineiro",14575
2020,5,"Operador de máquinas, montador na indústria",2819
2020,5,"Padeiro, açougueiro e doceiro",1426
2020,5,Motoboy,362
2020,5,"Técnico, profissional da saúde de nível médio",2578
2020,5,"Auxiliar de produção, de carga e descarga",3177
2020,5,"Porteiro, zelador",980
2020,5,"Cabeleireiro, manicure e afins",2704
2020,5,Policial civil,167
2020,5,"Diretor, gerente, cargo político ou comissionado",3938
2020,6,"Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro",9521
2020,6,"Pedagogo, professor de idiomas, música, arte e reforço escolar",915
2020,6,"Empregado doméstico, diarista, cozinheiro",7804
2020,6,Motorista,3492
2020,6,"Faxineiro, auxiliar de limpeza etc.",4377
2020,6,"Auxiliar de produção, de carga e descarga",3581
2020,6,Outra profissão de nível superior,7172
2020,6,"Médico, enfermeiro, profissionais de saúde de nível superior",2843
2020,6,Outro técnico ou profissional de nível médio,5027
2020,6,"Diretor, gerente, cargo político ou comissionado",4414
2020,6,"Agricultor, criador de animais, pescador, silvicultor e jardineiro",15718
2020,6,"Cuidador de crianças, doentes ou idosos",581
2020,6,"Cabeleireiro, manicure e afins",2925
2020,6,"Artesão, costureiro e sapateiro",3099
2020,6,Entregador de mercadorias,989
2020,6,Auxiliar da agropecuária,3958
2020,7,"Cabeleireiro, manicure e afins",2515
2020,7,"Faxineiro, auxiliar de limpeza etc.",4426
2020,7,"Segurança, vigilante, outro trabalhador dos serviços de proteção",2498
2020,7,"Empregado doméstico, diarista, cozinheiro",7326
2020,7,"Auxiliar de produção, de carga e descarga",3681
2020,7,"Técnico, profissional da saúde de nível médio",2862
2020,7,Motorista de caminhão,2677
2020,7,"Agricultor, criador de animais, pescador, silvicultor e jardineiro",15551
2020,7,Outro técnico ou profissional de nível médio,5349
2020,7,"Cuidador de crianças, doentes ou idosos",522
2020,7,Outra profissão de nível superior,7192
2020,7,"Padeiro, açougueiro e doceiro",1463
2020,7,Policial civil,209
2020,7,"Artesão, costureiro e sapateiro",2863
2020,7,"Porteiro, zelador",1040
2020,7,Auxiliar da agropecuária,3863
2020,7,Motoboy,395
2020,5,"Faxineiro, auxiliar de limpeza etc.",4119
2020,5,Cozinheiro e garçon,2308
2020,5,"Auxiliar de escritório, escriturário",4700
2020,5,"Mecânico de veículos, máquinas industriais etc.",2830
2020,5,"Professor da educação infantil, de ensino fundamental, médio ou superior",5865
2020,5,"Segurança, vigilante, outro trabalhador dos serviços de proteção",2308
2020,5,"Cuidador de crianças, doentes ou idosos",563
2020,5,Motorista,3272
2020,5,Motorista de caminhão,2480
2020,5,"Pedagogo, professor de idiomas, música, arte e reforço escolar",887
2020,5,"Artesão, costureiro e sapateiro",2852
2020,5,Entregador de mercadorias,932
2020,5,"Artista, religioso",344
2020,5,Auxiliar da agropecuária,3298
2020,6,Cozinheiro e garçon,2454
2020,6,Motoboy,392
2020,6,"Auxiliar de escritório, escriturário",5133
2020,6,"Professor da educação infantil, de ensino fundamental, médio ou superior",6370
2020,6,"Operador de máquinas, montador na indústria",2977
2020,6,"Mecânico de veículos, máquinas industriais etc.",3106
2020,6,"Segurança, vigilante, outro trabalhador dos serviços de proteção",2501
2020,6,Motorista de caminhão,2627
2020,6,"Técnico, profissional da saúde de nível médio",2778
2020,6,"Porteiro, zelador",1031
2020,6,"Padeiro, açougueiro e doceiro",1497
2020,6,"Artista, religioso",375
2020,6,Policial civil,197
2020,7,"Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro",9789
2020,7,"Mecânico de veículos, máquinas industriais etc.",3155
2020,7,Cozinheiro e garçon,2376
2020,7,Motorista,3230
2020,7,"Auxiliar de escritório, escriturário",5371
2020,7,"Professor da educação infantil, de ensino fundamental, médio ou superior",6314
2020,7,"Diretor, gerente, cargo político ou comissionado",4412
2020,7,"Pedagogo, professor de idiomas, música, arte e reforço escolar",858
2020,7,"Operador de máquinas, montador na indústria",2988
2020,7,"Médico, enfermeiro, profissionais de saúde de nível superior",2839
2020,7,"Artista, religioso",334
2020,7,Entregador de mercadorias,1006
