id_tabela,nome_coluna,chave,cobertura_temporal,valor
microdados,f0022,0,2020-05(1)2020-11,1 - 100
microdados,b011,1,2020-05(1)2020-11,"Não fez restrição, levou vida normal como antes da pandemia"
microdados,c016,1,2020-05(1)2020-11,"Devido à pandemia (isolamento, quarentena ou distanciamento social)"
microdados,a003,1,2020-05(1)2020-11,Homem
microdados,a004,1,2020-05(1)2020-11,Branca
microdados,c007,1,2020-05(1)2020-11,"Trabalhador doméstico (empregado doméstico, cuidados, babá)"
microdados,a006a,1,2020-05(1)2020-11,Pública
microdados,c005,1,2020-05(1)2020-11,Menos de 1 mês
microdados,c007e,1,2020-05(1)2020-11,1 a 5 empregados
microdados,a009,1,2020-05(1)2020-11,Menos de 1 hora
microdados,c007a,1,2020-05(1)2020-11,Federal
microdados,a007,1,2020-05(1)2020-11,"Sim, e realizou pelo menos parte delas"
microdados,a007a,1,2020-05(1)2020-11,Não tinha computador / tablet / celular disponível
microdados,a008,1,2020-05(1)2020-11,1 dia
microdados,c007d,1,2020-05(1)2020-11,"Agricultura, pecuária, produção florestal e pesca"
microdados,v1022,1,2020-05(1)2020-11,Urbana
microdados,c003,1,2020-05(1)2020-11,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas"
microdados,a006b,1,2020-05(1)2020-11,"Sim, normalmente"
microdados,e001,1,2020-05(1)2020-11,"Sim, e pelo menos um morador conseguiu"
microdados,f001,1,2020-05(1)2020-11,Próprio - já pago
microdados,f0061,1,2020-05(1)2020-11,Pessoa moradora
microdados,a001a,1,2020-05(1)2020-11,Pessoa responsável pelo domicílio
microdados,v1023,1,2020-05(1)2020-11,Capital
microdados,a005,1,2020-05(1)2020-11,Sem instrução
microdados,c007c,1,2020-05(1)2020-11,"Empregado doméstico, diarista, cozinheiro (em domicílios particulares),"
microdados,c007b,1,2020-05(1)2020-11,"Sim, tem carteira de trabalho assinada"
microdados,a006a,2,2020-05(1)2020-11,Privada
microdados,a004,2,2020-05(1)2020-11,Preta
microdados,c007d,2,2020-05(1)2020-11,"Extração de petróleo, carvão mineral, minerais metálicos, pedra, areia, sal etc."
microdados,a007,2,2020-05(1)2020-11,"Sim, mas não realizou (por qualquer motivo)"
microdados,a009,2,2020-05(1)2020-11,De 1 hora a menos de 2 horas
microdados,a003,2,2020-05(1)2020-11,Mulher
microdados,b011,2,2020-05(1)2020-11,"Reduziu o contato com as pessoas, mas continuou saindo de casa para trabalho ou atividades não essenciais e/ou recebendo visitas"
microdados,c007b,2,2020-05(1)2020-11,"Sim, é servidor público estatutário"
microdados,c007a,2,2020-05(1)2020-11,Estadual
microdados,c007e,2,2020-05(1)2020-11,6 a 10 empregados
microdados,c005,2,2020-05(1)2020-11,De 1 mês a menos de 1 ano
microdados,f0061,2,2020-05(1)2020-11,Pessoa não moradora
microdados,f001,2,2020-05(1)2020-11,Próprio - ainda pagando
microdados,a008,2,2020-05(1)2020-11,2 dias
microdados,a006b,2,2020-05(1)2020-11,"Sim, mas apenas parcialmente"
microdados,c003,2,2020-05(1)2020-11,"Férias, folga ou jornada de trabalho variável"
microdados,e001,2,2020-05(1)2020-11,"Sim, mas nenhum morador conseguiu"
microdados,v1022,2,2020-05(1)2020-11,Rural
microdados,c007,2,2020-05(1)2020-11,"Militar do exercito, marinha ou aeronáutica"
microdados,c007c,2,2020-05(1)2020-11,"Faxineiro, auxiliar de limpeza etc. (em empresa pública ou privada),"
microdados,a005,2,2020-05(1)2020-11,Fundamental incompleto
microdados,a001a,2,2020-05(1)2020-11,Cônjuge ou companheiro(a) de sexo diferente
microdados,v1023,2,2020-05(1)2020-11,"Resto da RM (Região Metropolitana, excluindo a capital)"
microdados,c016,2,2020-05(1)2020-11,Por problemas de saúde ou gravidez
microdados,a007a,2,2020-05(1)2020-11,Não tinha acesso à internet ou a qualidade dela era insuficiente
microdados,c007e,3,2020-05(1)2020-11,11 ou mais empregados
microdados,a005,3,2020-05(1)2020-11,Fundamental completa
microdados,b011,3,2020-05(1)2020-11,Ficou em casa e só saiu em caso de necessidade básica
microdados,a009,3,2020-05(1)2020-11,De 2 horas a menos de 5 horas
microdados,c003,3,2020-05(1)2020-11,Licença maternidade ou paternidade
microdados,a001a,3,2020-05(1)2020-11,Cônjuge ou companheiro(a) do mesmo sexo
microdados,a004,3,2020-05(1)2020-11,Amarela
microdados,a006b,3,2020-05(1)2020-11,"Não, e meu normalmente é presencial/semipresencial"
microdados,c005,3,2020-05(1)2020-11,De 1 ano a menos de 2 anos
microdados,b005,3,2020-05(1)2020-11,Não foi atendido
microdados,e001,3,2020-05(1)2020-11,Não solicitou
microdados,v1023,3,2020-05(1)2020-11,"Resto da RIDE (Região Integrada de Desenvolvimento Econômico, excluindo a capital)"
microdados,c007d,3,2020-05(1)2020-11,Indústria da transformação (inclusive confecção e fabricação caseira)
microdados,a007a,3,2020-05(1)2020-11,Por problemas de saúde da própria pessoa
microdados,f001,3,2020-05(1)2020-11,Alugado
microdados,a008,3,2020-05(1)2020-11,3 dias
microdados,c007a,3,2020-05(1)2020-11,Municipal
microdados,c0103,3,2020-05(1)2020-11,Em benefícios
microdados,c007c,3,2020-05(1)2020-11,"Auxiliar de escritório, escriturário"
microdados,c007,3,2020-05(1)2020-11,Plicial militar ou bombeiro mlilitar
microdados,c004,3,2020-05(1)2020-11,O trabalho já não era remunerado
microdados,c003,4,2020-05(1)2020-11,Licença remunerada por motivo de saúde ou acidente da própria pessoa
microdados,a001a,4,2020-05(1)2020-11,Filho(a) do responsável e do cônjuge
microdados,b011,4,2020-05(1)2020-11,Ficou rigorosamente em casa
microdados,a004,4,2020-05(1)2020-11,Parda
microdados,a009,4,2020-05(1)2020-11,5 horas ou mais
microdados,v1023,4,2020-05(1)2020-11,"Resto da UF (Unidade da Federação, excluindo a região metropolitana e a RIDE)"
microdados,a007a,4,2020-05(1)2020-11,"Tinha que cuidar dos afazeres domésticos, do(s) filhos ou de outro(s) parentes"
microdados,a007,4,2020-05(1)2020-11,"Não, porque estava de férias"
microdados,a005,4,2020-05(1)2020-11,Médio incompleto
microdados,a008,4,2020-05(1)2020-11,4 dias
microdados,f001,4,2020-05(1)2020-11,Cedido por empregador
microdados,a006b,4,2020-05(1)2020-11,"Não, meu curso é online"
microdados,c007,4,2020-05(1)2020-11,Empregado do setor privado
microdados,c007c,4,2020-05(1)2020-11,"Secretária, recepcionista"
microdados,c0104,4,2020-05(1)2020-11,Não remunerado
microdados,c007d,4,2020-05(1)2020-11,"Fornecimento de eletricidade e gás, água, esgoto e coleta de lixo"
microdados,c005,4,2020-05(1)2020-11,2 anos ou mais
microdados,c016,4,2020-05(1)2020-11,Não quer trabalhar ou é aposentado
microdados,a005,5,2020-05(1)2020-11,Médio completo
